nombre,marca,precio,sku,fuente
Papas Fritas Lisa Pehuamar 520 Gr,PEHUAMAR,1034.0,329942,vea
Papas Fritas Tradicional Krachitos 60g,KRACH-ITOS,165.0,318214,vea
Papas Fritas Americano Krachitos 110g,KRACH-ITOS,240.0,318216,vea
Papas Fritas Krachitos 55 Gr,KRACH-ITOS,157.0,19707,vea
Papas Fritas Tradicional Krachitos 110g,KRACH-ITOS,238.0,318217,vea
Papas Fritas Acanaladas Pehuamar 245 Gr,PEHUAMAR,500.0,329945,vea
Papas Fritas Acanaladas Pehuamar 140 Gr,PEHUAMAR,349.0,329944,vea
Papas Fritas Lays Queso Y Pimienta 85 Grs,LAY´S,418.0,347753,vea
Papas Chips Clásicas 140 Gr Cuisine &amp; Co,CUISINE &amp; CO NBE MP,390.0,306204,vea
Papas Fritas Corte Americano Cuisine &amp; Co 150,CUISINE &amp; CO NBE MP,319.0,325710,vea
Papa Pay Krachitos 60g,KRACH-ITOS,160.0,318221,vea
Papas Fritasÿtradicionales Cuisine &amp; Co 150gr,CUISINE &amp; CO NBE MP,319.0,325712,vea
Papas Fritas Tradicional Krachitos 160g,KRACH-ITOS,312.0,318207,vea
Papas Fritas Cheddar Krachitos  55g,KRACH-ITOS,162.0,318223,vea
Papas Fritas Americano Krachitos 60g,KRACH-ITOS,160.0,318222,vea
Papas Fritas Acanaladas Pehuamar 80 Gr,PEHUAMAR,276.0,320507,vea
Chips De Papas Con Sal Marina  Nuestros Sabore,Nuestros Sabores,199.0,300106,vea
Papas Pay Julicroc Sin Tacc 100 Gr,JULICROC,396.0,293276,vea
